"Titel","Original Titel","Autor(en)","Sprache","ISBN","DDR Lizenznummer"
"The Rainbow Cedar",,"Gerri Hill","englisch","978-1-59493-124-6",
"Gulf Breeze",,"Gerri Hill","englisch","1-931513-97-X",
"Die Königstochter aus Elfenland","The King of Elfland's Daughter","Lord Dunsany","deutsch","978-3-60887519-5",
"Spur zum Fjord",,"Claudia Rath","deutsch","978-3-930041-56-5",
"Snow White and the Seven Samurai",,"Tom Holt","englisch","1-85723-988-1",
"Darwin und die Götter der Scheibenwelt","Science of Discworld 3: Darwin's Watch","Terry Pratchett, Ian Stewart, Jack Cohen","deutsch","3-492-26622-3",
"Rettet die Rundwelt!","The Science of Discworld II: The Globe","Terry Pratchett, Ian Stewart, Jack Cohen","deutsch","3-453-86174-4",
"Gibt es intelligentes Leben?",,"Dieter Nuhr","deutsch","978-3-499-62076-8",
"A Tale of Two Pipers",,"Constance M. Burge","englisch","0-689-86850-2",
"Dream Lover",,"Lyn Denison","englisch","1-931513-96-1",
"Little People",,"Tom Holt","englisch","1-84149-185-3",
"Nothing But Blue Skies",,"Tom Holt","englisch","1-84149-058-X",
"Echte Katzen tragen niemals Schleifen","The Unadulterated Cat","Terry Pratchett","deutsch","3-426-02792-5",
"Die Strassen von Ankh-Morpork - Eine Scheibenwelt Karte","The Streets of Ankh-Morpork","Terry Pratchett, Stephen Briggs","deutsch","3-442-24719-5",
"Discworld Mapp",,"Terry Pratchett, Stephen Briggs","englisch","0-552-14324-3",
"A Tourist Guide to Lancre - A Discworld Mapp",,"Terry Pratchett, Stephen Briggs","englisch","0-552-14608-0",
"Sugar Rush",,"Julie Burchill","englisch","0-330-41583-2",
"Apocalypso",,"Robert Rankin","englisch","0-552-14589-0",
"A Series of Unfortunate Events: The Reptile Room",,"Lemony Snicket","englisch","0-06-440767-5",
"Die Helden von Muddelerde","Muddleearth","Paul Stewart, Chris Riddell","deutsch","3-499-21287-0",
"The Cursed Towers",,"Kate Forsyth","englisch","0-451-45691-2",
"Bernd das Brot",,,"deutsch","3-629-10032-5",
"Salem's Tails: You're History",,"Brad Strickland, Barbara Strickland","englisch","0-671-02104-4",
"Salem's Tails: Dog Day Afternoon",,"Diana G. Gallagher","englisch","0-671-02103-6",
"Buffy the Vampire Slayer: Sins of the Father",,"Christopher Golden","englisch","0-671-03928-8",
"Buffy the Vampire Slayer: How I Survived My Summer Vacation - Vol.1",,"diverse","englisch","0-7434-0040-2",
"Buffy the Vampire Slayer: Power of Persuasion",,"Elizabeth Massie","englisch","0-671-02632-1",
"Buffy the Vampire Slayer: Visitors",,"Laura Anne Gilman, Josepha Sherman","englisch","0-671-02628-3",
"Buffy the Vampire Slayer: Here Be Monsters",,"Cameron Dokey","englisch","0-671-03921-0",
"Rollende Steine","Soul Music","Terry Pratchett","deutsch","3-442-41589-6",
"Die Scheibenwelt von A-Z","The Discworld Companion","Terry Pratchett, Stephen Briggs","deutsch","3-442-43263-4",
"Einfach göttlich","Small Gods","Terry Pratchett","deutsch","3-442-41566-7",
"Echt zauberhaft","Interesting Times","Terry Pratchett","deutsch","3-442-41599-3",
"Mummenschanz","Maskerade","Terry Pratchett","deutsch","3-442-41593-4",
"Alles Sense!","Reaper Man","Terry Pratchett","deutsch","3-442-41551-9",
"Voll im Bilde","Moving Pictures","Terry Pratchett","deutsch","3-442-41543-8",
"Helle Barden","Men at Arms","Terry Pratchett","deutsch","3-442-43048-8",
"Schweinsgalopp","Hogfather","Terry Pratchett","deutsch","3-442-41631-0",
"Hohle Köpfe","Feet of Clay","Terry Pratchett","deutsch","3-442-41539-X",
"Total verhext","Witches Abroad","Terry Pratchett","deutsch","978-3-442-41557-1",
"Lords und Ladies","Lords and Ladies","Terry Pratchett","deutsch","3-442-42580-8",
"Heiße Hüpfer","The Last Continent","Terry Pratchett","deutsch","3-442-41646-9",
"Ruhig Blut!","Carpe Jugulum","Terry Pratchett","deutsch","3-442-41652-3",
"Fliegende Fetzen","Jingo","Terry Pratchett","deutsch","3-442-41625-6",
"The Wee Free Men",,"Terry Pratchett","englisch","0-385-60533-1",
"Pyramiden","Pyramids","Terry Pratchett","deutsch","3-453-04505-X",
"The Unseen University Challenge",,"David Langford","englisch","0-575-60000-4",
"Hogfather",,"Terry Pratchett","englisch","0-552-14542-4",
"Trucker","Truckers","Terry Pratchett","deutsch","3-453-06263-9",
"Wühler","Diggers","Terry Pratchett","deutsch","3-453-06264-7",
"Thief of Time",,"Terry Pratchett","englisch","0-552-14840-7",
"Going Postal",,"Terry Pratchett","englisch","0-552-14943-8",
"A Hat Full of Sky",,"Terry Pratchett","englisch","978-0-06-058662-1",
"Night Watch",,"Terry Pratchett","englisch","0-552-14899-7",
"Gevatter Tod","Mort","Terry Pratchett","deutsch","3-453-04290-5",
"Der Zauberhut","Sourcery","Terry Pratchett","deutsch","3-453-04300-6",
"Flügel","Wings","Terry Pratchett","deutsch","3-453-06265-5",
"Die dunkle Seite der Sonne","The Dark Side of the Sun","Terry Pratchett","deutsch","3-453-03902-5",
"Nur Du hast den Schlüssel","Johnny and the Bomb","Terry Pratchett","deutsch","3-442-43817-9",
"Die Teppichvölker","The Carpet People","Terry Pratchett","deutsch","3-453-07369-X",
"MacBest","Wyrd Sisters","Terry Pratchett","deutsch","3-453-05408-3",
"Weiberregiment","Monstrous Regiment","Terry Pratchett","deutsch","3-442-46195-2",
"Das Licht der Phantasie","The Light Fantastic","Terry Pratchett","deutsch","3-453-03450-3",
"Nanny Oggs Kochbuch","Nanny Ogg's Cookbook","Terry Pratchett, Stephen Briggs, Tina Hannan","deutsch","3-442-45050-0",
"Klonk!","Thud!","Terry Pratchett","deutsch","3-442-54616-8",
"Die Rächer vom Sherwood",,"George Payne Rainsford James","deutsch",,"303/305/166/61"
"Pinocchio","Le Avventure Di Pinocchio","C. Collodi","deutsch",,"358/255/12/59"
"Die schwatzhaften Sachsen",,"Renate Holland-Moritz","deutsch",,"540/78/85"
"Herrensalon W. Kleinkorte",,"C. U. Wiesner","deutsch",,"540/60/81"
"Halt dich senkrecht!",,"Hans Backe","deutsch",,"304/270/308/77-(55)"
"Onkel Toms Hütte","Uncle Tom's Cabin","Harriet Beecher-Stowe","deutsch",,"303/305/172/61"
"Vorsicht an der Bahnsteigkante",,"Lothar Kusche","deutsch",,"540/51/77"
"Wie man einen Haushalt aushält",,"Lothar Kusche","deutsch",,"540/53/76"
"Ilse Bilse",,"diverse","deutsch",,"304/270/313/81-(168)"
"Der Geist des Llano Estacado",,"Karl May","deutsch",,"303/305/58/85"
"Die letzte Zeugin",,"Hainer Rank","deutsch",,"409/160/166/77"
"1984",1984,"George Orwell","deutsch","3-548-22562-4",
"Die größten Irrtümer der Welt","The World's Greatest Mistakes","Nigel Blundell","deutsch","3-426-03758-0",
"Dinopark","Jurassic Park","Michael Crichton","deutsch",,
